ctr,cpc,link,campaign,id,media_type,start_month,gender,messenger,ret_pro
0.6103764,2.77916667,True,0,6210810829342,0,9,0,True,1
0.41894292,4.1598,True,0,6210810829542,1,9,0,True,1
0.81374322,2.16407407,True,0,6210810829742,1,9,0,True,1
0.6620862,2.38660377,True,0,6210810829942,1,9,0,True,1
0.51443744,2.62677419,True,0,6210810830142,0,9,0,True,1
0.53736847,3.00100418,True,0,6210810830342,0,9,0,True,1
0.62252405,2.44204545,True,0,6210810830542,0,9,0,True,1
0.53153792,3.38,True,0,6210810830742,1,9,0,True,1
0.81349877,2.10833828,True,0,6210810831142,1,9,-1,True,1
0.85226429,1.73407666,True,0,6210810831342,1,9,-1,True,1
0.85656098,1.7306993000000002,True,0,6210810831542,0,9,-1,True,1
1.03305785,1.97928571,True,0,6210810831742,1,9,-1,True,1
0.81274592,2.3268254,True,0,6210810831942,0,9,-1,True,1
0.75021459,2.09345538,True,0,6210810832142,1,9,-1,True,1
0.71176923,2.03954774,True,0,6210810832542,0,9,-1,True,1
0.87930205,1.40382813,True,0,6210810832742,0,9,-1,True,1
1.47688257,1.07252802,True,0,6215319196342,0,9,0,True,1
2.03327138,0.89984915,True,0,6215319196942,0,9,-1,True,1
1.49384033,1.32893506,True,0,6215319197142,0,9,0,True,1
1.22276136,2.10972583,True,0,6215319197342,0,9,0,True,1
1.15942029,1.805,True,0,6215346341742,1,9,0,True,1
1.1148272,2.5610000000000004,True,0,6215347715342,1,9,0,True,1
1.46853147,1.23047619,True,0,6215347715742,1,9,-1,True,1
1.32122213,1.79375,True,0,6215347715942,1,9,0,True,1
0.90681676,1.37482759,True,0,6207586243742,0,10,-1,True,1
0.63248249,2.59178571,True,0,6207586244142,1,10,-1,True,1
0.44038452,1.3524,True,0,6207586245142,0,10,2,True,0
0.82397004,2.06363636,True,0,6207586245942,0,10,0,True,1
0.41178153,1.69722222,True,0,6207586246142,1,10,2,True,0
1.00430416,1.96857143,True,0,6207586246342,1,10,0,True,1
0.77563108,1.6680000000000001,True,0,6208389875742,0,10,-1,True,1
1.36986301,1.2,True,0,6208389916342,0,10,0,True,1
0.42857143,3.61666667,True,0,6208390207742,0,10,0,True,1
0.30542579999999997,1.76676471,True,0,6208390255142,0,10,2,True,0
1.20481928,1.7275,True,0,6208391378942,0,10,0,True,1
0.81529379,1.37758621,True,0,6208391748942,1,10,2,True,0
0.41730727,2.68,True,0,6208391749342,0,10,2,True,0
1.39616056,1.51875,True,0,6210244776942,1,10,0,True,1
0.85370586,1.565,True,0,6210244777142,1,10,-1,True,1
0.94020308,1.6892,True,0,6210244777342,1,10,0,True,1
0.50016134,1.20290323,True,0,6210244777542,1,10,2,True,0
0.0,0.0,True,0,6210244777742,1,10,0,True,1
1.09670987,1.57363636,True,0,6210244777942,1,10,0,True,1
0.72473146,2.95089286,True,0,6210795078742,0,9,0,True,1
1.04750664,1.65352113,True,0,6210795078942,0,9,0,True,1
0.35046729,6.34333333,True,0,6210795079142,1,9,0,True,1
0.89552239,2.46166667,True,0,6210795079342,0,9,0,True,1
0.78850856,2.72325581,True,0,6210795079542,1,9,0,True,1
0.84566596,2.77,True,0,6210795079742,1,9,0,True,1
0.99889012,3.70555556,True,0,6210795079942,0,9,0,True,1
1.33587786,2.74571429,True,0,6210795080142,1,9,0,True,1
0.58908234,2.61405556,True,0,6210795080342,0,9,0,True,1
0.72735453,1.97927835,True,0,6210795080542,0,9,0,True,1
0.52847915,4.29361111,True,0,6210795080742,1,9,0,True,1
0.75240595,2.26651163,True,0,6210795080942,1,9,0,True,1
0.84591399,1.7120073,True,0,6210795081942,0,9,-1,True,1
0.68577027,2.06714286,True,0,6210795082142,1,9,-1,True,1
0.61239661,2.80687861,True,0,6210795082342,1,9,-1,True,1
0.74061832,2.25276151,True,0,6210795082542,0,9,-1,True,1
0.75150918,3.23885246,True,0,6210810823942,0,9,0,True,1
0.73685934,3.06022222,True,0,6210810824142,0,9,0,True,1
1.01580135,2.49555556,True,0,6210810824342,1,9,0,True,1
0.24154589,9.83333333,True,0,6210810824542,1,9,0,True,1
0.48076923,3.70666667,True,0,6210810824742,0,9,0,True,1
1.15606936,2.50666667,True,0,6210810824942,1,9,0,True,1
0.67294751,3.51,True,0,6210810825142,1,9,0,True,1
1.13402062,2.27727273,True,0,6210810825342,0,9,0,True,1
0.58679481,2.20606299,True,0,6210810825542,0,9,0,True,1
0.62842084,2.42806452,True,0,6210810825742,1,9,0,True,1
0.45640344,2.68767033,True,0,6210810825942,0,9,0,True,1
0.49312366,2.83544444,True,0,6210810826142,1,9,0,True,1
0.48042427,2.72279221,True,0,6210810826342,0,9,0,True,1
